ID,Incident Description,Type of Cybercrime,Affected Party,Impact on Education,Prevention Measures,Legal Framework,Region,Difficulty Level,Keywords
1,Students' w.,Data Breach,"Students, University","Loss of privacy, exposure of sensitive academic information.","Strong encryption, regular security audits, two-factor authentication (2FA).","Information Technology Act, 2000 (IT Act)",India,Medium,"Data breach, personal data, grades"
2,"An online examination platform was hacked, and answers were leaked to unauthorized students.",Online Exam Fraud,"Students, Educational Institutions","Compromised academic integrity, unfair advantage for some students.","Use of secure exam software, surveillance, real-time monitoring.","Indian Penal Code, 1860 (IPC)",India,Hard,"Online exam fraud, cheating"
3,"Phishing emails disguised as notifications from a school’s administration were sent, attempting to steal student credentials.",Phishing,"Students, Staff","Identity theft, loss of personal credentials.","Awareness training, use of official school email IDs, anti-phishing filters.","Information Technology Act, 2000 (IT Act)",India,Medium,"Phishing, identity theft, email scam"
4,"A teacher’s social media account was hacked, and inappropriate content was posted under their name.",Social Media Hacking,"Teacher, School","Damage to reputation, breach of professional conduct.","Regular password updates, two-factor authentication, monitoring social media.","Indian Penal Code, 1860 (IPC)",India,Hard,"Social media, account hacking"
5,Fake online courses claiming to be from a prestigious university scammed students for money.,Online Education Fraud,"Students, Educational Institutions","Financial loss, misrepresentation of educational quality.","Verification of course legitimacy, awareness campaigns, official websites.","Consumer Protection Act, 2019",India,Hard,"Online education, fraud, scam"
6,Students received malicious links in an online group chat that led to the installation of malware.,Malware Attack,Students,"Loss of data, compromised devices.","Anti-virus software, secure online platforms, awareness about suspicious links.","Information Technology Act, 2000 (IT Act)",India,Medium,"Malware, cybersecurity, phishing"
7,A student’s personal research work was stolen and published under another person’s name.,Intellectual Property Theft,"Students, Researchers","Loss of academic reputation, plagiarism, and unfair crediting of work.","Proper copyright registration, plagiarism detection tools, academic honesty policies.","Copyright Act, 1957",India,Hard,"IP theft, plagiarism, research work"
8,"A school's database was attacked, and sensitive information such as staff details and student grades were encrypted and held for ransom.",Ransomware,"School Administration, Students","Disruption of educational services, loss of sensitive data.","Regular backups, strong network security, and employee training.","Information Technology Act, 2000 (IT Act)",India,Hard,"Ransomware, cyberattack, encryption"
9,A teacher's exam paper was leaked on social media before the official examination date.,Data Leak,"Teachers, Students","Compromised exam integrity, unfair advantage for certain students.","Secure exam storage, password protection, encryption of materials.","Indian Penal Code, 1860 (IPC)",India,Hard,"Exam leak, social media, data leak"
10,"Students were targeted by online scammers posing as scholarship providers, asking for payment before granting financial aid.",Financial Fraud,Students,"Financial loss, stress due to false promises of scholarships.",Scholarships should only be verified through official educational channels.,"Consumer Protection Act, 2019",India,Medium,"Financial fraud, scholarships, scam"
11,A student’s email was hacked to send fraudulent requests for money from parents.,Email Hacking,"Students, Parents","Financial loss, damage to trust","Strong email security, password management",Indian Penal Code,India,Medium,"Hacking, email fraud"
12,"A school's network was breached, and students' personal information was stolen.",Data Breach,"School, Students","Privacy invasion, personal data exposure","Strong network security, regular data audits","IT Act, 2000",India,Hard,"Data breach, personal information"
13,A faculty member's research paper was copied and published without consent.,Plagiarism,"Faculty, Researchers","Academic reputation loss, intellectual theft","Plagiarism detection tools, copyright registration","Copyright Act, 1957",India,Medium,"Plagiarism, research paper"
14,Fake websites impersonating a university offered fake degrees for a fee.,Degree Fraud,"Students, University","Misleading academic credentials, financial loss","Official verification portals, awareness campaigns",Indian Penal Code,India,Hard,"Degree fraud, scam"
15,"A school's administration system was attacked by ransomware, and student records were encrypted.",Ransomware,"School, Students","Loss of critical educational data, disruption of services","Regular data backups, cybersecurity training","IT Act, 2000",India,Hard,"Ransomware, data encryption"
16,An online learning platform was hacked to change students’ grades.,Online Exam Fraud,"Students, Educational Institutions","Grade manipulation, academic integrity issues","Secure grading systems, real-time monitoring","IT Act, 2000",India,Hard,"Online fraud, grade manipulation"
17,Teachers’ private information was leaked online after a data breach in the school’s HR system.,Data Breach,"Teachers, School Administration","Privacy violation, exposure of personal details","Data encryption, secure HR systems","IT Act, 2000",India,Medium,"Data leak, HR system"
18,Fake student profiles were created to apply for scholarships.,Identity Theft,Students,"Financial loss, false scholarship applications","Identity verification, secure portals","Consumer Protection Act, 2019",India,Medium,"Identity theft, scholarship fraud"
19,A teacher’s phone was infected with spyware that allowed hackers to monitor their communications.,Spyware Attack,"Teacher, School","Invasion of privacy, security risks","Anti-spyware software, secure communication methods","IPC, 1860",India,Hard,"Spyware, privacy invasion"
20,A student was targeted by an online scam offering fake tutoring services.,Online Tutoring Scam,Students,"Financial loss, stress from scam","Verification of tutor legitimacy, use of trusted platforms","Consumer Protection Act, 2019",India,Medium,"Scam, online tutoring"
21,"Cyberbullies attacked a student through social media, causing emotional harm.",Cyberbullying,Students,"Emotional harm, damage to reputation","Anti-cyberbullying campaigns, reporting mechanisms","IPC, 1860",India,Medium,"Cyberbullying, online harassment"
22,Students' personal bank details were stolen through a phishing website posing as a university portal.,Phishing,Students,"Financial loss, identity theft","Secure website links, phishing education","IT Act, 2000",India,Medium,"Phishing, financial fraud"
23,"A student’s social media account was hacked, and personal photos were shared without permission.",Social Media Hacking,Student,"Privacy invasion, reputation damage","Two-factor authentication, strong passwords","IPC, 1860",India,Medium,"Social media, privacy invasion"
